YEARS	CO2_RCP26	CO2_RCP45	CO2_RCP6	CO2_RCP85
1981.00	339.73	339.73	339.73	339.73
1982.00	340.79	340.79	340.79	340.79
1983.00	342.20	342.20	342.20	342.20
1984.00	343.78	343.78	343.78	343.78
1985.00	345.28	345.28	345.28	345.28
1986.00	346.80	346.80	346.80	346.80
1987.00	348.65	348.65	348.65	348.65
1988.00	350.74	350.74	350.74	350.74
1989.00	352.49	352.49	352.49	352.49
1990.00	353.86	353.86	353.86	353.86
1991.00	355.02	355.02	355.02	355.02
1992.00	355.89	355.89	355.89	355.89
1993.00	356.78	356.78	356.78	356.78
1994.00	358.13	358.13	358.13	358.13
1995.00	359.84	359.84	359.84	359.84
1996.00	361.46	361.46	361.46	361.46
1997.00	363.16	363.16	363.16	363.16
1998.00	365.32	365.32	365.32	365.32
1999.00	367.35	367.35	367.35	367.35
2000.00	368.87	368.87	368.87	368.87
2001.00	370.47	370.47	370.47	370.47
2002.00	372.52	372.52	372.52	372.52
2003.00	374.76	374.76	374.76	374.76
2004.00	376.81	376.81	376.81	376.81
2005.00	378.81	378.81	378.81	378.81
2006.00	380.83	380.83	380.83	380.83
2007.00	382.78	382.78	382.78	382.78
2008.00	384.80	384.80	384.80	384.80
2009.00	387.00	386.95	386.93	387.01
2010.00	389.29	389.13	389.07	389.32
2011.00	391.56	391.27	391.17	391.64
2012.00	393.84	393.42	393.24	394.01
2013.00	396.12	395.58	395.30	396.46
2014.00	398.40	397.76	397.35	399.00
2015.00	400.68	399.97	399.39	401.63
2016.00	402.97	402.18	401.42	404.33
2017.00	405.25	404.41	403.43	407.10
2018.00	407.53	406.64	405.43	409.93
2019.00	409.80	408.88	407.40	412.82
2020.00	412.07	411.13	409.36	415.78
2021.00	414.33	413.38	411.30	418.80
2022.00	416.52	415.64	413.22	421.86
2023.00	418.60	417.94	415.14	424.99
2024.00	420.60	420.27	417.08	428.20
2025.00	422.52	422.66	419.04	431.47
2026.00	424.35	425.08	421.00	434.83
2027.00	426.10	427.54	422.98	438.24
2028.00	427.75	430.02	424.95	441.72
2029.00	429.31	432.52	426.92	445.25
2030.00	430.78	435.05	428.88	448.83
2031.00	432.16	437.59	430.83	452.47
2032.00	433.44	440.13	432.81	456.18
2033.00	434.59	442.66	434.83	459.96
2034.00	435.65	445.21	436.92	463.85
2035.00	436.63	447.77	439.07	467.85
2036.00	437.52	450.36	441.29	471.96
2037.00	438.33	452.96	443.57	476.18
2038.00	439.06	455.59	445.90	480.51
2039.00	439.69	458.22	448.28	484.93
2040.00	440.22	460.84	450.70	489.44
2041.00	440.66	463.48	453.15	494.03
2042.00	441.02	466.09	455.65	498.73
2043.00	441.35	468.68	458.18	503.53
2044.00	441.62	471.23	460.76	508.43
2045.00	441.86	473.78	463.41	513.46
2046.00	442.08	476.33	466.12	518.61
2047.00	442.28	478.88	468.91	523.90
2048.00	442.46	481.44	471.77	529.32
2049.00	442.60	483.99	474.69	534.88
2050.00	442.70	486.54	477.67	540.54
2051.00	442.75	489.06	480.70	546.32
2052.00	442.76	491.54	483.78	552.21
2053.00	442.73	493.93	486.92	558.21
2054.00	442.66	496.24	490.10	564.31
2055.00	442.55	498.47	493.34	570.52
2056.00	442.41	500.65	496.64	576.84
2057.00	442.25	502.77	500.02	583.30
2058.00	442.08	504.85	503.48	589.91
2059.00	441.89	506.88	507.02	596.65
2060.00	441.67	508.87	510.63	603.52
2061.00	441.42	510.80	514.31	610.52
2062.00	441.13	512.65	518.03	617.61
2063.00	440.80	514.40	521.80	624.76
2064.00	440.43	516.06	525.62	631.99
2065.00	440.01	517.63	529.49	639.29
2066.00	439.54	519.10	533.40	646.65
2067.00	439.05	520.49	537.38	654.10
2068.00	438.54	521.82	541.44	661.64
2069.00	438.02	523.09	545.59	669.30
2070.00	437.48	524.30	549.82	677.08
2071.00	436.92	525.45	554.13	684.95
2072.00	436.34	526.51	558.49	692.90
2073.00	435.76	527.46	562.87	700.89
2074.00	435.18	528.30	567.27	708.93
2075.00	434.60	529.03	571.70	717.02
2076.00	434.00	529.64	576.15	725.14
2077.00	433.38	530.14	580.61	733.31
2078.00	432.78	530.55	585.10	741.52
2079.00	432.19	530.88	589.65	749.80
2080.00	431.62	531.14	594.26	758.18
2081.00	431.06	531.32	598.92	766.64
2082.00	430.51	531.49	603.54	775.17
2083.00	429.96	531.70	608.02	783.75
2084.00	429.41	531.94	612.36	792.37
2085.00	428.86	532.20	616.57	801.02
2086.00	428.30	532.49	620.65	809.71
2087.00	427.73	532.78	624.58	818.42
2088.00	427.14	533.07	628.38	827.16
2089.00	426.57	533.39	632.06	835.96
2090.00	426.00	533.74	635.65	844.80
2091.00	425.46	534.13	639.14	853.73
2092.00	424.94	534.56	642.60	862.73
2093.00	424.43	535.01	646.06	871.78
2094.00	423.93	535.48	649.52	880.86
2095.00	423.43	535.95	652.95	889.98
2096.00	422.93	536.44	656.36	899.12
2097.00	422.43	536.92	659.75	908.29
2098.00	421.92	537.40	663.11	917.47
2099.00	421.40	537.87	666.42	926.67
